alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
nan,nan,rwse,0.2857142857142857,-0.04578218856786465,fixed,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,degree,0.611111111111111,-0.024035577455282467,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,local_similarity,0.52,-0.024502459607521752,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,neighbor_variance,0.44000000000000006,0.0012169951663548494,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,rwse,0.36888888888888893,-0.041367679833867965,fixed,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,degree,0.5284324464388773,-0.006073768468001622,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,local_similarity,0.5324546835800856,-0.03451611384035966,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,neighbor_variance,0.48563654994523164,0.01834661844527458,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,rwse,0.4848533031812774,-0.03957075528169315,fixed,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,degree,0.4921875,0.0047803627228752395,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,local_similarity,0.4375,-0.03166151948692527,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,neighbor_variance,0.5,0.0205471431574868,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,rwse,0.328125,-0.03077017850128949,fixed,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,degree,0.5,-0.003941174517971103,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,local_similarity,0.71875,-0.022556989979954558,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,neighbor_variance,0.59375,0.014889170795232935,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,rwse,0.21875,-0.0327460399937359,fixed,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,degree,0.5116758241758241,-0.016705232136115307,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,local_similarity,0.5280785391079509,-0.02325218495218978,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,neighbor_variance,0.4475126589097177,0.00529732351330628,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,rwse,0.4771331609566904,-0.03579353529646454,fixed,Amazon-ratings,iterative_relation_frozen,0,8,6123
nan,nan,degree,0.5686274509803922,-0.018889981198007617,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,local_similarity,0.5359477124183007,-0.035304555327520186,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,neighbor_variance,0.522875816993464,0.01314494719722536,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
nan,nan,rwse,0.5751633986928104,-0.04571969078595733,fixed,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.3882717135762162,-0.4071819418351281,degree,0.4722222222222222,-0.025179032024849477,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
-0.1438771290473535,-0.14691979362813828,local_similarity,0.3472222222222222,-0.031188094769786037,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
0.04767825568758519,0.059229047592546456,neighbor_variance,0.7083333333333333,0.02106865325068719,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
-0.34950304179252767,-0.3831761697098817,rwse,0.2638888888888889,-0.04294996163853893,reliability_only,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,degree,0.5363636363636364,-0.01961692006491941,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,local_similarity,0.5181818181818182,-0.032304345181239286,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,neighbor_variance,0.5818181818181818,0.013343135839450985,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,rwse,0.5909090909090908,-0.02212349587060006,reliability_only,Amazon-ratings,iterative_relation_frozen,0,1,6123
-0.2872698084542746,-0.25637903149764585,degree,0.5526315789473684,-0.0015979693265965756,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
0.06679396505307636,0.06639679450435353,local_similarity,0.4093567251461988,-0.03470584701383879,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
-0.1157128528468464,-0.1238177554275368,neighbor_variance,0.7543859649122807,0.025092257441709207,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
-0.287217377452667,-0.2747885641942382,rwse,0.4152046783625731,-0.0490418680769401,reliability_only,Amazon-ratings,iterative_relation_frozen,0,2,6123
